regulatoryGene,targetGene,weight
SP140,ITGAL,0.0372990154834157
EBF1,ADH5,0.0372941557470751
EGR1,FOS,0.0372452898745139
SPI1,LILRB2,0.0372309302948874
PPARG,MAPK10,0.0372161682473406
SPI1,LILRA2,0.0371530272044522
FOXM1,UBE2T,0.0371470667383596
MYBL2,SKA1,0.0371197849722485
STAT1,PARP14,0.0371152998971696
CSRNP1,MCL1,0.0370979596356433
E2F8,CDC45,0.0370825551557549
MLXIPL,ALDH1L1,0.0370723827013388
IRF5,LILRB4,0.0370457560276113
IRF5,CD53,0.0370332520895226
SAFB,SAFB2,0.0369920897242263
POU2AF1,IGHV4-28,0.0369915242846184
SPI1,CCR1,0.0369717872650095
E2F8,MCM10,0.0369316529835777
FOXM1,CENPF,0.0369312570215316
FLI1,CARD8-AS1,0.0369278975427256
PROX1,GPR182,0.0369156146005545
ZBED6,ZBTB20,0.0369003991885156
MYBL2,AURKB,0.0368628176928189
TEF,PER3,0.0368530050740699
SPI1,CD300LB,0.0368428678800042
PA2G4,KARS,0.0368367870299687
E2F8,KIAA0101,0.0368146255334951
PPARG,AQP7,0.0368129365876426
ZNF277,EIF2S3,0.0368117711979323
HOXB6,HOXB5,0.0367863743370131
E2F8,NCAPH,0.0367703270904749
TFEC,CYBB,0.0367381428408121
SPI1,PIK3R5,0.0367349403281009
ERG,PECAM1,0.0367325357821199
IKZF1,SEL1L3,0.0367290294171368
THYN1,ARPC1A,0.0366584855254837
SPI1,FCER1G,0.0366429578493517
SPI1,ARHGAP9,0.0366120975021041
IKZF3,MS4A1,0.0365939679456963
MYBL2,EME1,0.0365842771869423
E2F7,DTL,0.0365251470364631
FOSB,CTD-3252C9.4,0.0365220830615686
MYBL2,CDC20,0.0365171987626613
HOXC10,HOXC-AS3,0.0365039588814004
IRF5,SLC7A7,0.0364888075524123
TFE3,FADS3,0.0364727785534909
TFE3,ITPK1,0.0364333070820843
POU2AF1,IGHV1-69-2,0.0364216256646243
E2F7,FAM111B,0.0364109765066593
SPI1,GPSM3,0.0364078433503406
POU2AF1,IGLV6-57,0.0364028574427486
SPI1,LGALS9,0.0363863536417914
FOXM1,MCM10,0.0363758126537265
E2F2,NUSAP1,0.0363717828612522
EOMES,CD48,0.0363709241515194
